,runid,N,E,m,B,H,rocauc,entropy,ccm,ccM,bias1,bias2,bias1_towards,bias2_towards,pseeds,crawled,supernode,pseeds_,ntours,mean_length_tour,min_length_tour,max_length_tour,mean_length_tour_0,mean_length_tour_1,b0,b1,h00,h11,h01,h10,B0,B1,H00,H11,H01,H10,h,precise_pseeds
61,1,2000,78400,40,0.3,0.7,0.02081523804353726,0.3582633062431597,0.28402366863905326,0.5951834862385321,0.3230452198476464,-0.3539095603047072,majority,majority,0.4,590,200,,100,11.32,1,68,10.89795918367347,11.72549019607843,0.67,0.33,0.58,0.14,0.18,0.1,0.7,0.3,0.6,0.13,0.17,0.1,0.73,0.4
62,1,2000,77811,40,0.3,1.0,1.0,-1.5091237044781472e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.3,488,200,,100,10.1,1,56,6.42,13.78,0.42,0.58,0.23,0.77,0.0,0.0,0.7,0.3,0.7,0.3,0.0,0.0,1.0,0.34
63,1,2000,39600,20,0.5,0.5,0.5115285981846996,0.8368354475084374,0.45999999999999996,0.5800316957210776,0.4422942126596166,-0.11541157468076677,majority,majority,0.4,619,200,,100,12.09,1,52,16.0,11.840425531914894,0.45,0.55,0.2,0.29,0.26,0.25,0.5,0.5,0.24,0.25,0.25,0.26,0.49,0.41
64,1,2000,7984,4,0.5,0.4,0.66478945035461,0.44747074426623723,0.6156028368794326,0.5828125,0.5136807064589209,0.027361412917841825,unbiased,unbiased,0.3,455,200,,100,10.2,1,65,10.408602150537634,7.428571428571429,0.55,0.45,0.23,0.17,0.29,0.31,0.5,0.5,0.2,0.2,0.29,0.3,0.4,0.33
65,1,2000,39600,20,0.1,0.7,0.20509156844968268,0.24922236378022006,0.07999999999999996,0.8594741613780599,0.08515401837412179,-0.8296919632517564,majority,majority,0.4,572,200,,100,10.68,1,45,10.0625,13.15,0.9,0.1,0.88,0.01,0.08,0.02,0.9,0.1,0.87,0.02,0.09,0.03,0.89,0.39
66,1,2000,7974,4,0.1,1.0,1.0,-4.721939833101403e-07,1.0,1.0,0.5,0.0,unbiased,unbiased,0.3,487,200,,100,11.71,1,124,9.793103448275861,24.53846153846154,0.8,0.2,0.74,0.26,0.0,0.0,0.9,0.1,0.9,0.1,0.0,0.0,1.0,0.34
67,1,2000,39600,20,0.5,0.3,0.9987335014088685,0.028851460552025806,0.9727272727272728,0.9820554649265906,0.4976140079356048,-0.004771984128790458,unbiased,unbiased,0.4,637,200,,100,12.38,1,74,12.9,12.322222222222223,0.46,0.54,0.2,0.12,0.35,0.33,0.5,0.5,0.16,0.14,0.36,0.33,0.30000000000000004,0.42
68,1,2000,78399,40,0.5,0.9,0.8779311387705513,-3.878777380555108e-06,1.0,0.006426735218509005,0.9936143039591315,0.9872286079182631,minority,minority,0.4,529,200,,100,10.09,1,48,9.25,10.125,0.3,0.7,0.17,0.72,0.06,0.05,0.5,0.5,0.45,0.44,0.06,0.05,0.89,0.36
69,1,2000,7984,4,0.3,0.5,0.5133762208586526,0.35987264850903133,0.35311572700296734,0.6507230255839822,0.35176538671471685,-0.2964692265705661,majority,majority,0.4,564,200,,100,12.47,1,68,9.883720930232558,14.421052631578947,0.66,0.34,0.12,0.46,0.19,0.23,0.7,0.3,0.09,0.5,0.2,0.21,0.59,0.38
70,1,2000,39600,20,0.1,0.4,0.7990470608665451,0.1830439693828979,0.4772727272727273,0.8882521489971347,0.3495159521197959,-0.3009680957604082,majority,majority,0.4,665,200,,100,12.33,1,64,11.802469135802468,14.578947368421053,0.87,0.13,0.01,0.7,0.17,0.11,0.9,0.1,0.01,0.74,0.16,0.09,0.75,0.43
71,1,2000,78400,40,0.3,0.4,0.9632800141820761,0.2322937268735655,0.8035714285714286,0.9427262313860252,0.46015719255502324,-0.07968561488995347,majority,majority,0.4,591,200,,100,10.91,1,48,11.76595744680851,10.150943396226415,0.67,0.33,0.08,0.38,0.29,0.24,0.7,0.3,0.07,0.43,0.27,0.23,0.5,0.4
72,1,2000,7984,4,0.1,0.8,0.7558380125168158,0.22670035469420316,0.13008130081300817,0.9136690647482014,0.12462874754833292,-0.7507425049033343,majority,majority,0.4,565,200,,100,12.62,1,82,12.256756756756756,13.653846153846153,0.9,0.1,0.89,0.02,0.08,0.02,0.9,0.1,0.88,0.02,0.08,0.02,0.9,0.38
73,1,2000,7984,4,0.1,0.2,0.9676895348303256,0.08040581390681122,0.7213114754098361,0.9677871148459384,0.4270392975111123,-0.14592140497777534,majority,majority,0.2,250,200,,100,6.81,1,40,6.666666666666667,7.421052631578948,0.83,0.17,0.22,0.02,0.14,0.62,0.9,0.1,0.33,0.01,0.09,0.57,0.34,0.23
74,1,2000,78400,40,0.3,0.3,0.999961417520304,0.009132595463677657,0.990990990990991,0.9978586723768736,0.4982734538682393,-0.0034530922635213793,unbiased,unbiased,0.4,533,200,,100,10.39,1,41,11.18421052631579,9.903225806451612,0.64,0.36,0.09,0.24,0.43,0.24,0.7,0.3,0.06,0.3,0.4,0.24,0.36,0.37
75,1,2000,7984,4,0.1,0.9,0.9525488555548915,0.10978468767579878,0.48275862068965514,0.9662045060658578,0.33317522839289765,-0.3336495432142047,majority,majority,0.4,530,200,,100,11.16,1,80,11.27710843373494,10.588235294117647,0.88,0.12,0.05,0.88,0.01,0.07,0.9,0.1,0.04,0.89,0.01,0.06,0.93,0.36
